;;NEW COTY;;;;;
"Ref 
Fournisseur ";Ref SAP ; DESIGNATION ;"SIZE 
ML";"Pre
Pack";DFRRP (EUR);Domestic RRP (EUR);Ean Codes
;;;;;;;
;;;;;;;
;; SPECIAL PRICE OFFER - 30% ;;;;;
;;;;;;;
;; Boss Jour Lumineuse - Eau de Parfum ;;;;;
;; BOSS BOTTLED COLLECTION ;;;;;
;;;;;;;
82463174;82463174;BOSS BOTTLED INTENSE EDP VAPO ;50;36;57,6;72;8,00561E+12
82463175;82463175;BOSS BOTTLED INTENSE EDP VAPO ;100;30;76;95;8,00561E+12
;;;;;;;
;; Boss Bottled Oud - Eau de toilette ;;;;;
82457994;82451290;BOSS BOTTLED OUD EDP VAPO ;50;36;69,6;87;7,37053E+11
82457995;82451291;BOSS BOTTLED OUD EDP VAPO ;100;24;91,2;114;7,37053E+11
;;;;;;;
;; Boss Bottled - Eau de toilette ;;;;;
82457982;82442999; BOSS BOTTLED EDT VAPO ;30;25;42,4;53;7,37052E+11
82443000;9350; BOSS BOTTLED EDT VAPO ;50;36;52,8;66;7,37052E+11
82459405;9351; BOSS BOTTLED EDT VAPO ;100;24;69,6;87;7,37052E+11
82459406;9364; BOSS BOTTLED EDT VAPO ;200;18;97,6;122;7,37052E+11
82459557;9360;BOSS BOTTLED  DEO STICK    ;75;54;19,6;24,5;7,37052E+11
82447840;9359; BOSS BOTTLED DEO SPRAY           ;150;6;20,4;25,5;7,37052E+11
;;;;;;;
;; Boss Bottled Night - Eau de toilette ;;;;;
82457991;81188048;BOSS BOTTLED NIGHT EDT ;50;18;52,8;66;7,37052E+11
82432257;81188045;BOSS BOTTLED NIGHT EDT;100;15;69,6;87;7,37052E+11
82447582;82447582;BOSS BOTTLED NIGHT EDT;200;18;97,6;122;7,37052E+11
81188013;81149243; BOSS BOTTLED NIGHT DEO STICK  ;75;3;19,6;24,5;7,37052E+11
;;;;;;;
;; Boss Bottled Unlimited - Eau de toilette ;;;;;
82442208;82442208; BOSS BOTTLED UNLIMITED EDT  ;50;18;52,8;66;7,37053E+11
82457469;82442209; BOSS BOTTLED UNLIMITED EDT  ;100;15;69,6;87;7,37053E+11
;;;;;;;
;;;;;;;
;; HUGO ;;;;;
;;;;;;;
;;Hugo Man Extrème - Eau de toilette;;;;;
82454626;82454626;HUGO MAN EXTREME EDP VAPO;60;25;48;60;7,37053E+11
82461723;82454627;HUGO MAN EXTREME EDP VAPO ;100;16;65,6;82;7,37053E+11
;;;;;;;
;;Hugo Man - Eau de toilette;;;;;
82455850;9302;HUGO MAN EDT                  ;40;60;39,2;49;7,37052E+11
82455848;82435877;HUGO MAN EDT                  ;75;36;45,6;57;7,37053E+11
82438757;82438757;HUGO MAN EDT                  ;125;27;63,2;79;7,37053E+11
82452904;82426845;HUGO MAN EDT                  ;200;18;77,6;97;7,37053E+11
82423207;9313; HUGO MAN DEO STICK      ;75;6;19,6;24,5;7,37052E+11
;;;;;;;
;;Just different- Eau de toilette;;;;;
82449532;82423020; JUST DIFFERENT EDT  ;40;54;39,2;49;7,37052E+11
82423033;82423033; JUST DIFFERENT EDT  ;75;16;45,6;57;7,37052E+11
82449534;82438758; JUST DIFFERENT EDT  ;125;27;63,2;79;7,37053E+11
82449535;82449535; JUST DIFFERENT EDT  ;200;18;77,6;97;7,37053E+11
;;;;;;;
;;Hugo Red- Eau de toilette;;;;;
82449542;82446348; HUGO RED EDT  ;200;18;76;95;7,37053E+11
;;;;;;;
;;Hugo XY - Eau de toilette;;;;;
82442280;9380; HUGO XY EDT  ;100;24;60,8;76;7,37052E+11
;;;;;;;
;;Hugo Energise - Eau de toilette;;;;;
80957439;9321; HUGO ENERGISE EDT  ;75;27;46,4;58;7,37052E+11
80957545;9320; HUGO ENERGISE EDT  ;125;24;60,8;76;7,37052E+11
;;;;;;;
;;;;;;;
;; BOSS ORANGE ;;;;;
;;;;;;;
;;Orange Man - Eau de toilette;;;;;
82455625;81187236; BOSS ORANGE MAN EDT   ;60;24;49,6;62;7,37052E+11
82455624;81187233; BOSS ORANGE MAN EDT   ;100;18;64;80;7,37052E+11
81187199;81187199; BOSS ORANGE MAN AFTER SHAVE LOTION ;100;;46,4;58;7,37052E+11
;;;;;;;
;; BOSS OTHERS ;;;;;
;;;;;;;
;; Boss in Motion - Eau de toilette ;;;;;
82428730;9111;BOSS IN MOTION EDT        ;90;15;56,8;71;7,37053E+11
;;;;;;;
;; Boss selection - Eau de toilette ;;;;;
82451278;9000; BOSS SELECTION EDT  ;90;21;60,8;76;7,37052E+11
;;;;;;;
;; Boss Pure - Eau de toilette ;;;;;
82452454;9180;PURE FOR MAN EDT ***;75;27;60;75;7,37052E+11
;;;;;;;
;;Boss Soul - Eau de toilette;;;;;
82425271;9290;BOSS SOUL EDT  ;90;30;60;75;7,37052E+11
;;;;;;;
;; BOSS N° 1 - Eau de toilette ;;;;;
82451269;9020; BOSS Nø1 EDT             ;125;21;60,8;76;4,0845E+12
;;;;;;;
;; LACOSTE ;;;;;
;;;;;;;
;;WOMEN FRAGRANCES ;;;;;
;;;;;;;
;; EAU DE LACOSTE ;;;;;
;;;;;;;
;; L.12.12 Pour Elle - Eau de Toilette ;;;;;
82455728;82455728;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;30;24;33,6;42;7,3087E+11
82455729;82455729;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;50;36;44,8;56;7,3087E+11
82455730;82455730;LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT ;90;12;61,6;77;7,3087E+11
;;;;;;;
82455722;82455722;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT;30;24;33,6;42;7,3087E+11
82455723;82455723;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT ;50;36;44,8;56;7,3087E+11
82455724;82455724;LACOSTE EAU L.12.12 POUR ELLE NATURAL BLEU EDT ;90;12;61,6;77;7,3087E+11
;;;;;;;
82455725;82455725;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;30;24;33,6;42;7,3087E+11
82463712;82455726;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;50;36;44,8;56;7,3087E+11
82455727;82455727;LACOSTE EAU L.12.12 POUR ELLE SPARKLING ROSE EDT ;90;27;61,6;77;7,3087E+11
;;;;;;;
;; Eau de lacoste - Eau de parfum ;;;;;
82428210;82428210;EAU DE LACOSTE FEMME EDP;90;24;66,4;83;7,37053E+11
;;;;;;;
;; Eau de lacoste sensuelle - Eau de parfum ;;;;;
82439878;82439878;EAU DE LACOSTE SENSUELLE EDP;50;33;49,6;62;7,37053E+11
82451775;82439879;EAU DE LACOSTE SENSUELLE EDP;90;24;66,4;83;7,37053E+11
;;;;;;;
;; LACOSTE PINK ;;;;;
;;;;;;;
;;Touch of pink - Eau de toilette;;;;;
82459823;107021;TOUCH OF PINK EDT ;50;45;48;60;7,37052E+11
82444990;107020;TOUCH OF PINK EDT  ;90;30;62,4;78;7,37052E+11
;;;;; ;;
;; LACOSTE POUR FEMME ;;;;;
;;;;;;;
;;Pour Femme - Eau de parfum;;;;;
82447173;82430557;POUR FEMME EDP;50;36;49,6;62;7,37053E+11
82430591;107100;POUR FEMME EDP;90;30;66,4;83;7,37053E+11
;;;;;;;
;;MEN FRAGRANCES ;;;;;
;;;;;;;
;; L!ve - Eau de toilette ;;;;;
82442816;PG82442816;LACOSTE L!VE MALE  EDT  ;40;24;34,4;43;7,37053E+11
82442817;82442817;LACOSTE L!VE MALE  EDT  ;100;18;60;75;7,37053E+11
82442821;82442821;LACOSTE L!VE MALE DEO STICK  ;75;;18,4;23;7,37053E+11
;;;;;;;
;; L12.12 ;;;;;
;;;;;;;
;; Eau L.12.12 Energized - Eau de Toilette ;;;;;
